,owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
586,1018,'2021-08-21 08:23:18,창문,"기상, 환기",날씨 확인하기,,,,,,,,
587,1018,'2021-08-21 08:28:17,리모콘,TV시청,TV 보기,,,,,,,,
588,1018,'2021-08-21 08:35:26,창문,환기,집 환기하기,,,,,,,,
589,1018,'2021-08-21 08:41:55,리모콘,TV시청,TV 보기,,,,,,,,
590,1018,'2021-08-21 09:01:00,창문,환기,집 환기하기,,,,,,,,
591,1018,'2021-08-21 09:14:21,리모콘,TV시청,TV 보기,,,,,,,,
592,1018,'2021-08-21 09:58:03,부동,취침,수면,,,,,,,,
593,1018,'2021-08-21 10:00:39,리모콘,"기상, TV시청",기상하기,,,,,,,,
594,1018,'2021-08-21 10:00:39,리모콘,"기상, TV시청",뉴스 시청,,,,,,,,
595,1018,'2021-08-21 10:38:46,창문,환기,집 환기하기,,,,,,,,
596,1018,'2021-08-21 10:49:50,리모콘,TV시청,TV 보기,,,,,,,,
597,1018,'2021-08-21 11:38:08,부동,낮잠,낮잠자기,,,,,,,,
598,1018,'2021-08-21 11:49:26,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
599,1018,'2021-08-21 12:01:12,창문,환기,집 환기하기,,,,,,,,
600,1018,'2021-08-21 12:48:08,부동,낮잠,낮잠자기,,,,,,,,
601,1018,'2021-08-21 12:54:21,창문,낮잠기상,낮잠 기상하기,,,,,,,,
602,1018,'2021-08-21 12:54:33,창문,환기,집 환기하기,,,,,,,,
603,1018,'2021-08-21 13:38:08,부동,낮잠,낮잠자기,,,,,,,,
604,1018,'2021-08-21 16:09:28,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
605,1018,'2021-08-21 16:09:46,리모콘,TV시청,TV 보기,,,,,,,,
606,1018,'2021-08-21 16:58:10,부동,낮잠,낮잠자기,,,,,,,,
607,1018,'2021-08-21 17:53:08,창문,낮잠기상,낮잠 기상하기,,,,,,,,
608,1018,'2021-08-21 17:53:19,창문,환기,집 환기하기,,,,,,,,
609,1018,'2021-08-21 18:02:55,리모콘,TV시청,TV 보기,,,,,,,,
610,1018,'2021-08-21 19:13:52,창문,환기,집 환기하기,,,,,,,,
611,1018,'2021-08-21 19:14:14,리모콘,TV시청,TV 보기,,,,,,,,
612,1018,'2021-08-21 19:28:02,창문,환기,집 환기하기,,,,,,,,
613,1018,'2021-08-21 19:31:28,리모콘,TV시청,TV 보기,,,,,,,,
614,1018,'2021-08-21 20:38:08,부동,취침,수면,,,,,,,,
615,1018,'2021-08-21 21:08:10,미동,기상,기상하기,,,,,,,,
616,1018,'2021-08-21 21:58:09,부동,취침,수면,,,,,,,,
617,1018,'2021-08-22 05:08:09,미동,기상,기상하기,,,,,,,,
618,1018,'2021-08-22 05:58:09,부동,취침,수면,,,,,,,,
619,1018,'2021-08-22 06:00:11,창문,"기상, 환기",기상하기,,,,,,,,
620,1018,'2021-08-22 06:00:11,창문,"기상, 환기",날씨 확인하기,,,,,,,,
621,1018,'2021-08-22 07:08:09,부동,취침,수면,,,,,,,,
622,1018,'2021-08-22 09:48:03,미동,기상,기상하기,,,,,,,,
623,1018,'2021-08-22 10:38:04,부동,낮잠,낮잠자기,,,,,,,,
624,1018,'2021-08-22 11:38:20,창문,낮잠기상,낮잠 기상하기,,,,,,,,
625,1018,'2021-08-22 11:52:02,리모콘,TV시청,TV 보기,,,,,,,,
626,1018,'2021-08-22 12:38:04,부동,낮잠,낮잠자기,,,,,,,,
627,1018,'2021-08-22 12:54:02,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
628,1018,'2021-08-22 12:56:58,리모콘,TV시청,TV 보기,,,,,,,,
629,1018,'2021-08-22 13:35:52,창문,환기,집 환기하기,,,,,,,,
630,1018,'2021-08-22 13:41:33,리모콘,TV시청,TV 보기,,,,,,,,
631,1018,'2021-08-22 14:28:02,부동,휴식,취미활동,,,,,,,,
632,1018,'2021-08-22 14:58:03,부동,낮잠,낮잠자기,,,,,,,,
633,1018,'2021-08-22 18:46:18,창문,낮잠기상,낮잠 기상하기,,,,,,,,
634,1018,'2021-08-22 18:46:24,창문,환기,집 환기하기,,,,,,,,
635,1018,'2021-08-22 18:48:48,리모콘,TV시청,TV 보기,,,,,,,,
636,1018,'2021-08-22 19:24:15,창문,환기,집 환기하기,,,,,,,,
637,1018,'2021-08-22 19:43:09,리모콘,TV시청,TV 보기,,,,,,,,
638,1018,'2021-08-22 20:28:03,부동,취침,수면,,,,,,,,
639,1018,'2021-08-22 20:48:03,미동,기상,기상하기,,,,,,,,
640,1018,'2021-08-22 21:38:03,부동,취침,수면,,,,,,,,
641,1018,'2021-08-22 21:40:52,리모콘,"기상, TV시청",기상하기,,,,,,,,
642,1018,'2021-08-22 21:40:52,리모콘,"기상, TV시청",뉴스 시청,,,,,,,,
643,1018,'2021-08-22 22:28:03,부동,취침,수면,,,,,,,,
644,1018,'2021-08-23 05:08:03,미동,기상,기상하기,,,,,,,,
645,1018,'2021-08-23 05:58:02,부동,취침,수면,,,,,,,,
646,1018,'2021-08-23 06:02:44,창문,"기상, 환기",기상하기,,,,,,,,
647,1018,'2021-08-23 06:02:44,창문,"기상, 환기",날씨 확인하기,,,,,,,,
